Age,Occupation,Residence_Area,Movement_Frequency,Active_Times,Primary_Transport_Mode,Vehicle_Type,Delay_Causes,Accident_Frequency,Accident_Causes,Safety_Rating,Traffic_Regulations_Enforcement,Traffic_Changes,Traffic_Volume(target)
18 - 25,Employed (full-time),West,Daily,Evening rush hour;Late at  night,Car,Car;SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat unsafe,Yes,Improvement,2
26 - 35,Student,East,Daily,Morning rush hour;Evening rush hour,Car,Car;SUV,Heavy traffic due to peak hours,Often,Speeding;محد ملتزم بالنظام ويمشي بسرعه لأنه مب لحاله بالطريق,Somewhat safe,Yes,Improvement,2
18 - 25,Student,North,Several times a week,Early morning;Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions;Crowd it self causes accidents",Somewhat safe,Yes,Improvement,2
18 - 25,Employed (full-time),East,Occasionally,Early morning;Late at  night,Car,Car;SUV;Truck,Accidents;Road construction;Heavy traffic due to peak hours,Often,Speeding,Neutral,Yes,Improvement,2
18 - 25,Employed (full-time),East,Daily,Evening rush hour;Late at  night,Car,Car,Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
18 - 25,Student,West,Daily,Early morning;Mid day;Evening rush hour;Late at  night,Car,Car,Accidents;Road construction;Heavy traffic due to peak hours,Rarely,Weather conditions,Very safe,Yes,No change,2
18 - 25,Student,East,Several times a week,Early morning,Car,Car,Bad driving skills,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Student,South,Daily,Morning rush hour;Mid day,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,No,No change,2
46 - 55,Student,North,Daily,Early morning,Car,Car,Accidents,Never,"Speeding;Distracted driving (e.g., phone use)",Somewhat safe,Yes,No change,2
26 - 35,Student,West,Daily,Morning rush hour;Mid day,Car,SUV,Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Somewhat safe,No,Improvement,2
26 - 35,Retired,East,Daily,Early morning;Evening rush hour,Car,Car,Road construction;Heavy traffic due to peak hours,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,Improvement,2
26 - 35,Employed (full-time),East,Daily,Morning rush hour,Car,Car;SUV,Accidents;Road construction;Heavy traffic due to peak hours,Sometimes,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Yes,Improvement,2
18 - 25,Student,North,Daily,Early morning;Mid day;Late at  night,Car,Car;Truck,Accidents;Heavy traffic due to peak hours,Sometimes,"Distracted driving (e.g., phone use);Poor road conditions;Weather conditions",Very unsafe,Yes,No change,2
18 - 25,Employed (full-time),East,Daily,Early morning;Evening rush hour;Late at  night,Car,Car;SUV,Heavy traffic due to peak hours,Often,"Speeding;Distracted driving (e.g., phone use);Poor road conditions",Neutral,Yes,Improvement,2
18 - 25,Employed (full-time),North,Occasionally,Early morning;Evening rush hour,Car,Car,Road construction,Rarely,"Speeding;Distracted driving (e.g., phone use)",Neutral,Yes,No change,2
18 - 25,Student,South,Daily,Morning rush hour;Evening rush hour,Car,SUV,Accidents;Heavy traffic due to peak hours,Never,"Speeding;Distracted driving (e.g., phone use)",Very unsafe,Yes,No change,2
